fid,LSOA Code,LSOA Name,GeoPackage Unique ID,LSOA IMD Ranking,IMD Decile,Shape__Area,Shape__Length
31968,E01033926,Enfield 014E,87943f50-e621-49ca-80bb-bb8e342303db,4840,2,5438718.84445,12133.0890457989
1921,E01002021,Haringey 022C,0dc8a61e-08fa-45ec-84b8-21083519ac22,28306,9,479981.759086609,3117.79839932602
4174,E01004407,Waltham Forest 013A,0f975bdd-5a15-4159-9c26-5e2b4ddc7ec1,1283,1,235518.496765614,3439.5175897155
32229,E01034189,Greenwich 040B,c136315a-f859-4232-9ed2-88fa411a153e,21310,7,538495.829843521,3804.91794540286
3842,E01004040,Southwark 013C,9c98cf1a-5a94-4c35-a1d0-a8092dac90a5,5305,2,284020.204708099,3849.61012452155
2585,E01002719,Islington 016B,d16bcc12-1da2-48c3-8b33-a24f09e02a2f,18134,6,376766.73714447,3363.40156926037
3510,E01003682,Redbridge 036H,52ebce3e-6cb2-40c9-bcda-76864ac5bd07,28693,9,719622.997301102,5490.74538651609
3581,E01003756,Redbridge 023C,6bf2cdbb-d2ed-47a8-a49b-633f0e1a2844,14678,5,655186.11259079,5315.44726875585
2253,E01002364,Havering 023C,02a7625c-c641-45cf-a940-b75583cb5b7f,30065,9,609231.687103271,4302.52225439952
1257,E01001310,Ealing 001D,25e2034e-16ab-4bb0-aac9-42e5c012687f,15618,5,616348.966430664,4227.26448232305
3913,E01004111,Sutton 016B,025c89b8-e37b-4974-889c-edd52c2753f4,26855,8,1221402.93579102,6757.66694665419
3249,E01003406,Merton 008D,ac889323-3389-4f17-bb4e-a27744e2c63d,15022,5,487541.33379364,4593.50372231955
3178,E01003334,Lewisham 033E,7ba19467-a309-4c70-9b64-de8e30722cbd,6901,3,436716.615886688,5128.85446815104
2917,E01003062,Lambeth 033A,b4081fa7-b297-424c-b327-11f1c6885b97,11423,4,348114.205692291,3440.14317512465
1589,E01001659,Greenwich 034D,75e81cb9-7638-4d5b-bba3-36f7dc4ce206,17984,6,971150.423477173,7811.04560330792
925,E01000968,Camden 016E,71322e8a-1f19-4b75-87f1-7181be67d6a2,20808,7,210029.52583313,2737.60050171448
4506,E01004765,Westminster 013D,b7f62457-eb83-42d3-a748-f6d3e1e70c6e,16070,5,691228.345420837,5323.07363872522
593,E01000620,Brent 020B,bedb91f7-efd3-4a6f-b517-d24f76a4f1d8,12413,4,1133865.48701477,5911.09786249915
261,E01000274,Barnet 011C,2ea1a3fc-29ca-489e-9444-1bc90d188c13,15706,5,692438.350570679,6545.56640468242
32632,E01034593,Harrow 015E,e9a4a425-8055-4ad9-96c9-63528f9917a2,21550,7,2903064.59275818,9689.0370434213
33651,E01035657,Tower Hamlets 001E,78bd102e-f3fb-41ad-9c67-6078fb1a0d3a,21154,7,558456.965249062,4278.41840163187
4197,E01004430,Waltham Forest 026D,992ec241-f9f0-43c7-8bb1-2d27ec70dae0,12369,4,1333964.38001966,5444.4290452906
2562,E01002695,Islington 021A,9050cc25-82dd-4813-a83c-11c8dbc6cb1a,10885,4,306054.220046997,3939.19226687932
902,E01000942,Camden 029C,b5621d68-56c5-435a-b2fa-ad2efff3b26c,12987,4,188430.111091614,2504.18434323392
1898,E01001997,Haringey 014D,bdd48fb2-026e-44f9-bd6d-dc007c2ceaf6,22766,7,493341.977996826,4844.33756980284
570,E01000593,Brent 001E,688d8f58-925f-4399-8e62-59a7bca39a60,12182,4,467869.993377686,3503.7864593559
2230,E01002340,Havering 009F,2df41f05-793a-4bff-b709-32ea02cb119e,28146,9,614874.413726807,4461.47196462148
355,E01000368,Bexley 010B,b1245b2c-0fbb-4608-9091-92de27b7b39f,8213,3,611951.683540344,4158.7400677261
1566,E01001633,Greenwich 009B,b21e1567-4b34-43e8-9755-aab5d034a72a,7684,3,296446.970729828,4145.46369906545
23,E01000027,Barking and Dagenham 001A,7daf0a01-68c2-4784-9878-d367df92dd10,6841,3,3815349.06484985,10863.0499901382
3226,E01003383,Merton 009D,468fa542-e6f1-4954-9a61-b117637dd824,28215,9,644327.874588013,5609.90624915643
3865,E01004063,Southwark 025C,046d5360-3c2f-4337-982d-346ebf64eaf6,13430,4,452480.290653229,5196.8455203205
687,E01000717,Bromley 011D,24cbb3a2-41c7-4b53-b064-4fdc807ebd39,27102,9,804466.142176643,6908.58687827613
238,E01000250,Barnet 001C,83c5de45-d117-4c84-8c0e-994308a5a4bc,19311,6,1509292.32940674,9112.28119221189
32655,E01034616,Hillingdon 030F,5aaea4fe-9895-4f96-825b-f292d6e1a6c7,8869,3,288883.411773682,3496.70268376892
1234,E01001287,Ealing 016F,22f68ceb-7b3a-45d3-a770-4d4c76ae9580,9245,3,237868.586929321,2294.93440861645
2894,E01003039,Lambeth 013C,97ef8a28-560f-4793-982d-16c3671e8dd7,25105,8,475566.504608154,3497.14913077923
1374,E01001428,Enfield 027C,3950c0a4-8e3c-4646-865f-49b196810daa,3616,2,407750.85226059,4113.1397939734
1472,E01001531,Enfield 028B,76f00e1d-e9a8-4ed7-a16b-537eb7cd9217,29866,9,590833.187995911,5751.18513590551
1875,E01001974,Haringey 001C,7eed4406-8f42-4c18-805d-4b33d84e4943,9801,3,455743.602920532,4130.38868049365
4128,E01004361,Waltham Forest 005A,b527fcc8-2949-43bb-99a2-6dc1a617a9b2,24039,8,542298.35077858,5469.70927126916
3464,E01003635,Newham 016D,49bbefd0-01ba-48dc-b6de-5fc865d78892,9998,3,1023682.94712353,6022.72126833123
33674,E01035680,Tower Hamlets 019E,dbdffd4b-204b-49b9-9653-e914183f72df,12842,4,218010.260620117,2386.53537018579
32515,E01034476,Barking and Dagenham 019G,3231b2e1-40f7-4d55-bf30-1209864e6c42,10472,4,1819312.75528717,8148.30303958765
46,E01000052,Barking and Dagenham 019D,026eb05c-ccc0-4a52-be5a-95395ebf5864,6208,2,515232.17590332,4190.64249042141
2136,E01002244,Havering 011A,d696687f-6116-4616-b4e4-91b054104da7,17827,6,865315.46497345,6874.60779566361
2207,E01002317,Havering 014C,81a54ec1-031e-4a73-9125-bba1e86b7927,32679,10,969313.660369873,5183.15739744164
1543,E01001603,Greenwich 031D,caba4683-5d28-4404-a760-48ca5397a20e,5471,2,540853.326869965,4180.93210714982
378,E01000392,Bexley 016B,1801ea92-f4c6-4bad-b675-c01d4a496bf8,12352,4,568360.828056335,5408.29631758377
1804,E01001901,Hammersmith and Fulham 019B,22997a98-8be0-4307-be70-ba1c64e37448,23680,8,217914.541549683,2907.69506233373
1042,E01001090,Croydon 004D,f2ef7d33-7ed1-4501-942e-0cbb63c502d1,11096,4,458578.509132385,4576.46187171294
32183,E01034141,Croydon 020F,9480ef45-7842-45f2-b24b-103a815dad5b,19073,6,193463.704902649,2021.94802221861
710,E01000741,Bromley 005B,2970e71c-4d0b-471f-82d9-a7c131ea88ee,13694,5,349586.293060303,3271.20463514378
3796,E01003988,Southwark 018B,dc09c2ad-d59b-447c-9cbf-27c1a200ff25,5772,2,993078.17963028,6470.77316295483
3132,E01003283,Lewisham 013B,edb2b9b6-d13e-475d-8d69-aba7a64b6ce7,19957,6,601079.566223621,4022.59734139338
2539,E01002668,Hounslow 014A,ea468dd6-938d-419f-9310-3eaec70302e2,14862,5,882665.9375,6474.74680971877
2468,E01002592,Hounslow 022D,3ecf6b3e-fb66-4120-8862-8e6b2adac689,8423,3,4435841.02758789,10918.374086873
2800,E01002944,Kingston upon Thames 019A,04227321-a570-4e84-9516-62596ee621ff,23824,8,773768.971237183,4577.67770719223
879,E01000917,Camden 027C,7205eeed-3cf1-4502-9073-4e8afb75ea58,2752,1,193649.496353149,3863.8269613635
4460,E01004713,Westminster 011A,86d32f6d-8b2e-42aa-9e92-bbfef044f5a6,27616,9,448676.726043701,5277.49388223176
31682,E01033597,Westminster 023F,27f4609b-8c17-4879-9fb9-9ae74bf5aa93,5798,2,150151.57157135,2897.15170956604
215,E01000227,Barnet 018E,81dde14d-7bb6-4143-b5fe-45688dfc678a,23509,7,662511.095474243,5073.34860393431
1211,E01001264,Ealing 010E,1d479442-5b7a-4e90-94a0-877f96df537f,9459,3,783616.513626099,5494.4639135025
547,E01000569,Brent 008E,90a21241-17cc-4500-af87-c5ed54c75f87,24102,8,974440.696517944,4405.27338091769
1397,E01001452,Enfield 017B,bac267b2-bf38-473c-89d8-31f61420ac0a,29033,9,1656371.35432053,7921.78461164636
31373,E01033146,Enfield 025F,073690a4-d73f-4e71-b67e-a5a101eaca4f,2617,1,358729.033313751,2773.34046723485
4151,E01004384,Waltham Forest 003A,47ea81d8-23d4-44ef-a4d7-2c7e90cc89b7,6244,2,705903.20690918,5153.77311121624
33697,E01035703,Tower Hamlets 036B,9a100653-7d42-4c66-892c-25ad50d19d11,28566,9,166083.934493065,1704.35572630892
4483,E01004736,Westminster 018C,7516df5e-43a4-488b-86f8-e36497aed68e,24593,8,3068919.08562469,12098.4210536187
1729,E01001825,Hackney 001E,0a5b219c-f154-4de5-bea2-f3cc4da2ed31,2725,1,274628.89251709,3741.42551096135
69,E01000075,Barking and Dagenham 012D,2d1b06e7-5779-4842-a09a-36214e5efb7f,10481,4,1336253.53721619,5199.41809665805
31828,E01033786,Havering 017G,fca4f66d-8458-4bed-8a4f-59a9335c8f9e,15454,5,360296.610023499,3542.46776334
401,E01000416,Bexley 002A,df76920d-7487-44f3-b68f-91a0e0e3822b,11829,4,459225.054924011,4583.27168619116
2159,E01002268,Havering 010A,667c99ed-f793-4bf3-9175-c50b2a153884,23257,7,2189327.26026917,12609.3599066387
3487,E01003658,Redbridge 004C,704e44ef-c696-4b13-bf98-b4d164bf26ea,11581,4,602665.720424652,6762.0860362756
3155,E01003310,Lewisham 027B,1bdb6ae7-3259-4d3a-8c57-b6cd640c30b9,8588,3,411444.571300507,4259.79481160892
1520,E01001580,Greenwich 021A,94279ab2-597a-47ea-a65f-c7bd50e7880a,24040,8,764928.172668457,6158.56157265262
31496,E01033322,Lewisham 017F,4067eff5-ef61-4e5f-b6e7-8ac6b6a8808c,15034,5,179950.481504321,2563.42812678918
733,E01000764,Bromley 027B,df73f856-3f2c-47e0-bcbd-b0aeec54a939,22323,7,1298081.15529871,5942.31847204268
2823,E01002967,Kingston upon Thames 009B,bc5de87e-2587-4bca-951d-38b5d33db476,30918,10,505950.277359009,3796.21568607577
2491,E01002616,Hounslow 027E,9728f24f-ffae-46cb-8706-df5883e5ee1a,14713,5,584299.548736572,4028.23701001482
33488,E01035493,Wandsworth 010K,301ab306-4aa6-46f9-8611-ddaa80174e0b,17070,6,365034.116378784,3638.40544634549
1065,E01001113,Croydon 013D,2ef17fd1-5191-417c-b275-daad240d810a,8287,3,451587.246070862,5641.65619558918
3819,E01004013,Southwark 019D,e613df82-2ef6-49e0-aa13-7d7d5c6b89a5,9089,3,269279.484210968,3373.78193781706
856,E01000894,Camden 002B,ed9bf5c7-4380-470a-949e-ae0b2e3323aa,27987,9,573794.967514038,6857.23277441009
524,E01000546,Brent 028B,98849965-eac0-47be-8e6d-ca1a13c6677a,7206,3,245386.087478638,2737.71031652934
1188,E01001240,Ealing 024A,a185573d-5c5e-43f3-97fa-6e50647632a5,7825,3,506453.090423584,4818.95851409486
2061,E01002166,Harrow 017B,7992394b-6fab-4e77-bb61-6be05006b5c7,18758,6,434609.803451538,5326.74013359029
192,E01000204,Barnet 025C,88bd644b-e656-44f3-a570-840b34b11977,21823,7,819593.00012207,6129.96733822402
1420,E01001475,Enfield 013D,0536ae46-661d-4866-984a-2bd36bfe42a8,32248,10,875529.777938843,4452.05387168867
3750,E01003929,Southwark 002B,9b4a38a8-f789-4d74-a908-3aea64b79cbc,11656,4,609257.469146729,6207.62786054143
4414,E01004657,Westminster 012A,d88c283d-7972-4ebd-ac0b-08a570ee891e,20579,7,320111.996902466,3745.57957301444
2748,E01002890,Kensington and Chelsea 010C,334f140c-6efb-4351-b3b4-a3d50377e9ce,27630,9,404706.020767212,4249.72548751685
1758,E01001854,Hammersmith and Fulham 007C,bf5bd22a-281d-4968-a0e5-a4b405f7bb4a,13468,4,170023.840637207,2925.5874650571
501,E01000520,Brent 002D,dcd3f8fb-5a4a-41bc-8c0c-4dbbf6e25cbe,9522,3,627984.103851318,4072.55797028462
756,E01000788,Bromley 029D,6cfa3d4f-dc50-4a1b-a980-3a9ef0546e22,20099,6,946372.466667175,8803.58802712664
430,E01000446,Bexley 024D,6350a147-798c-421a-8635-72af9431d1ce,31326,10,719929.430213928,4751.31869858831
92,E01000099,Barking and Dagenham 023E,31d9fcdc-d433-44d1-b575-0a4f9646cb1d,11925,4,800959.844451904,4714.3785820032
4337,E01004576,Wandsworth 013D,5631917f-6d34-4670-8d3d-8535b1099136,8651,3,1146884.25563049,6917.81783886068
3673,E01003849,Richmond upon Thames 002C,d384a030-38bd-4e57-9b28-7a3a1999496f,25475,8,515809.543365479,5844.48653860402
4343,E01004583,Wandsworth 001D,df401058-e54f-4661-9fb3-a319966214df,22170,7,388320.388923645,4039.75228172958
3009,E01003156,Lambeth 023B,870fc7f2-8e50-4774-ba07-e9ba96694304,19031,6,300385.885803223,4074.3290156394
1094,E01001143,Croydon 008B,43d39d13-4957-4bb7-bb35-e827c11939cd,8602,3,573956.579353333,5322.15460642486
3086,E01003235,Lewisham 038A,542f4adb-dfff-4cb5-9802-cf5717f7cff9,8742,3,1254519.90492779,5766.23851992613
2084,E01002190,Harrow 009D,c49e51c1-158e-4dd2-93d4-8c2ace187aec,33053,10,3534172.58691406,10258.7513345221
2345,E01002458,Hillingdon 011A,635afcd6-cc4d-46fe-aedc-a5c47204ca2d,31666,10,2515502.47167969,12635.0735699151
